,shooterPlayerId,shooterName,xG
208,8477498.0,Darnell Nurse,10.861566226464731
124,8479353.0,Brett Howden,10.84403738168629
475,8480748.0,Kiefer Sherwood,10.84140827533826
632,8476393.0,Nick Cousins,10.811451089650745
771,8479351.0,Sam Steel,10.795690576414566
764,8475842.0,Sam Carrick,10.775577317624814
601,8476875.0,Mike Matheson,10.705470834514292
381,8470604.0,Jeff Carter,10.690605962747068
225,8478038.0,Devon Toews,10.689834072588724
520,8477346.0,MacKenzie Weegar,10.635895494080845
91,8482259.0,Bobby McMann,10.618047278954322
900,8482475.0,Yegor Chinakhov,10.617499407965854
270,8474149.0,Evgenii Dadonov,10.585894771203291
154,8475231.0,Casey Cizikas,10.518203339872393
459,8481554.0,Kaapo Kakko,10.49794281375589
353,8475164.0,Jakob Silfverberg,10.478332959492024
240,8482699.0,Dylan Guenther,10.471677530821037
159,8479325.0,Charlie McAvoy,10.46958603159354
617,8476853.0,Morgan Rielly,10.443975967925017
271,8475744.0,Evgeny Kuznetsov,10.427860877981113
123,8470613.0,Brent Burns,10.365572950014407
829,8475193.0,Tomas Tatar,10.32249030907118
784,8480434.0,Sean Durzi,10.311599020669025
344,8478133.0,Jake Evans,10.29886723736752
101,8476869.0,Brady Skjei,10.28288607897648
231,8477330.0,Dominik Kubalik,10.221119354310122
6,8484166.0,Adam Fantilli,10.200270195165094
682,8476897.0,Oskar Sundqvist,10.1335056389665
837,8477948.0,Travis Sanheim,10.096529794337572
666,8479393.0,Noah Gregor,10.000067351715815
110,8479293.0,Brandon Tanev,9.963563264209437
580,8479368.0,Max Jones,9.963274071468286
44,8480074.0,Alexandre Texier,9.942927566211619
464,8477953.0,Kasperi Kapanen,9.844605246713982
832,8476792.0,Torey Krug,9.751484125276688
439,8476312.0,Josh Manson,9.737023539322943
191,8482074.0,Connor Zary,9.654860048401869
719,8478397.0,Rasmus Andersson,9.563415518442879
502,8482702.0,Logan Stankoven,9.54337451442494
802,8481601.0,Simon Holmstrom,9.49994472944344
80,8480849.0,Barrett Hayton,9.489879307943387
574,8477406.0,Mattias Janmark,9.458206209615339
582,8474157.0,Max Pacioretty,9.443665137726954
87,8471218.0,Blake Wheeler,9.3996409514382
186,8480980.0,Connor Dewar,9.380848045159773
38,8482222.0,Alexander Barabanov,9.366521204711123
73,8481560.0,Arthur Kaliyev,9.268653354209967
324,8480855.0,Jack McBain,9.249731590007217
614,8480289.0,Morgan Barron,9.188438172024895
685,8480448.0,Parker Kelly,9.173022008198998
592,8479415.0,Michael McLeod,9.14516394950317
791,8477495.0,Seth Jones,9.110579513911366
169,8479996.0,Cody Glass,9.047321596020623
889,8477478.0,William Carrier,9.00873718539731
787,8480336.0,Sean Walker,8.999029685246843
50,8477444.0,Andre Burakovsky,8.97696837716928
165,8478432.0,Christian Fischer,8.960124029445929
349,8482105.0,Jake Sanderson,8.935453816602408
813,8476871.0,Tanner Pearson,8.867945190519828
90,8481553.0,Bobby Brink,8.839408236299459
462,8479977.0,Kailer Yamamoto,8.775615793983048
229,8475200.0,Dmitry Orlov,8.77463305970248
212,8480144.0,David Kampf,8.756109849520884
747,8475793.0,Ryan Johansen,8.7358618295534
148,8481546.0,Cam York,8.724097346845925
474,8478831.0,Kevin Stenlund,8.656123982497313
150,8479336.0,Carl Grundstrom,8.652587311726808
275,8479425.0,Filip Hronek,8.612982951204202
628,8481582.0,Nicholas Robertson,8.583135346956327
177,8476278.0,Colin Blackwell,8.486411231457023
531,8475220.0,Marcus Foligno,8.484595599488406
796,8476906.0,Shayne Gostisbehere,8.45620962906892
40,8479423.0,Alexander Nylander,8.44210196956918
664,8480220.0,Noah Cates,8.440608074211783
480,8471724.0,Kris Letang,8.373700059829185
855,8477353.0,Tyler Motte,8.285128718652
643,8481477.0,Nico Sturm,8.261839784480761
625,8475343.0,Nic Dowd,8.259954554833005
292,8478055.0,Gustav Forsling,8.242818415737458
425,8477380.0,Jonny Brodzinski,8.239543642460637
126,8481517.0,Brett Leason,8.232398577314667
812,8479661.0,Tanner Jeannot,8.22089007341898
494,8477070.0,Liam O'Brien,8.210000699317582
515,8476822.0,Luke Glendening,8.156162419571206
31,8474565.0,Alex Pietrangelo,8.120956412115016
