,shooterPlayerId,shooterName,xG2
719,8478397.0,Rasmus Andersson,8.880662
832,8476792.0,Torey Krug,8.879
474,8478831.0,Kevin Stenlund,8.801588
148,8481546.0,Cam York,8.740319
791,8477495.0,Seth Jones,8.721809
165,8478432.0,Christian Fischer,8.699862
229,8475200.0,Dmitry Orlov,8.566875
812,8479661.0,Tanner Jeannot,8.50235
212,8480144.0,David Kampf,8.483691
855,8477353.0,Tyler Motte,8.46188
90,8481553.0,Bobby Brink,8.44196
787,8480336.0,Sean Walker,8.4327755
538,8476873.0,Mark Jankowski,8.424952
138,8473504.0,Cal Clutterbuck,8.401233
465,8478434.0,Keegan Kolesar,8.311491
515,8476822.0,Luke Glendening,8.30699
126,8481517.0,Brett Leason,8.280611
796,8476906.0,Shayne Gostisbehere,8.279618
813,8476871.0,Tanner Pearson,8.279115
133,8482122.0,Brock Faber,8.272066
519,8480025.0,MacKenzie Entwistle,8.263291
494,8477070.0,Liam O'Brien,8.2227125
683,8482671.0,Owen Power,8.218089
512,8482117.0,Lukas Reichel,8.156246
458,8480817.0,K'Andre Miller,8.089766
625,8475343.0,Nic Dowd,8.050089
349,8482105.0,Jake Sanderson,8.048899
40,8479423.0,Alexander Nylander,8.036681
516,8482684.0,Luke Hughes,7.9457703
425,8477380.0,Jonny Brodzinski,7.9271755
917,8476878.0,Zemgus Girgensons,7.869808
456,8481704.0,Juuso Parssinen,7.857733
31,8474565.0,Alex Pietrangelo,7.8351917
275,8479425.0,Filip Hronek,7.819
86,8481481.0,Blake Lizotte,7.817503
292,8478055.0,Gustav Forsling,7.784868
669,8478569.0,Noel Acciari,7.7363
79,8476624.0,Barclay Goodrow,7.728144
310,8480806.0,Isac Lundestrom,7.683453
908,8470610.0,Zach Parise,7.6704106
620,8479414.0,Nathan Bastian,7.65749
241,8482077.0,Dylan Holloway,7.6461215
94,8479383.0,Boris Katchouk,7.6456957
197,8477508.0,Curtis Lazar,7.6111946
698,8481522.0,Peyton Krebs,7.5973563
873,8478042.0,Viktor Arvidsson,7.580134
256,8480762.0,Eric Robinson,7.5614586
319,8476958.0,Jaccob Slavin,7.5399866
325,8482097.0,Jack Quinn,7.504048
673,8475171.0,Oliver Ekman-Larsson,7.4948006
700,8481577.0,Philip Tomasino,7.4498696
252,8480205.0,Emil Bemstrom,7.425489
711,8480995.0,Pontus Holmberg,7.2813253
867,8481703.0,Valtteri Puustinen,7.2159433
480,8471724.0,Kris Letang,7.2145615
841,8481533.0,Trevor Zegras,7.1686893
281,8477919.0,Frederick Gaudreau,7.1437793
566,8478911.0,Matt Roy,7.095175
848,8480848.0,Ty Dellandrea,7.013736
600,8474884.0,Mike Hoffman,6.9845166
338,8476885.0,Jacob Trouba,6.928111
234,8474563.0,Drew Doughty,6.9065666
665,8480865.0,Noah Dobson,6.8985834
624,8480145.0,Neal Pionk,6.851511
404,8479315.0,Joey Anderson,6.8193083
222,8478585.0,Derek Ryan,6.7955947
1,8477932.0,Aaron Ekblad,6.691263
12,8476457.0,Adam Larsson,6.6886907
644,8477979.0,Nicolas Aube-Kubel,6.6467814
618,8481542.0,Moritz Seider,6.6214156
299,8482148.0,Hendrix Lapierre,6.5786276
354,8480880.0,Jakub Lauko,6.5709486
